release_id,artist,album,genre,style,year,original_year,reissue,edition,color,country,date_added,cover_path,cover_source
10318353,!!!,Shake The Shudder,Electronic,Tech House,2017,2017,,,,Europe,2026-06-15T03:40:46-07:00,covers/10318353.jpg,cached
14078850,!!!,Wallop,"Electronic, Rock","Indie Rock, Disco",2019,2019,,,,UK,2025-08-01T14:00:38-07:00,covers/14078850.jpg,cached
17161207,!!!,Louden Up Now,"Electronic, Rock","Leftfield, Punk, Disco",2021,2004,Reissue,,,"UK, Europe & US",2026-05-27T16:18:57-07:00,covers/17161207.jpg,cached
23100191,!!!,Let It Be Blue,"Electronic, Rock","Indie Rock, Disco",2022,2022,,,Blue,Europe,2026-06-15T08:29:21-07:00,covers/23100191.jpg,cached
15853311,All Them Witches,Nothing As The Ideal ,Rock,"Hard Rock, Stoner Rock, Psychedelic Rock",2020,2020,,,,USA & Europe,2026-06-17T14:40:08-07:00,covers/15853311.jpg,cached
12458218,Anna Calvi,Hunter,Rock,"Alternative Rock, Indie Rock",2018,2018,,,,Europe,2026-04-13T14:51:45-07:00,covers/12458218.jpg,cached
13391581,Apparat,LP5,Electronic,"Ambient, Downtempo, Electro, Neo-Classical",2019,2019,,,,Europe,2026-03-03T13:07:42-08:00,covers/13391581.jpg,cached
36558430,Apparat,A Hum Of Maybe,Electronic,"Ambient, Experimental",2026,2026,,Limited,Turquoise,Europe,2026-04-25T17:27:24-07:00,covers/36558430.jpg,cached
28951774,Balthazar,Thin Walls,Rock,Indie Rock,2023,2015,Reissue,,Gold Vinyl / Gatefold,Europe,2025-05-26T08:38:21-07:00,covers/28951774.jpg,cached
29065957,Balthazar,Rats,"Rock, Pop","Alternative Rock, Indie Rock",2023,2012,Reissue,"Limited, Special",Transparant Orange,Belgium,2026-04-22T07:22:52-07:00,covers/29065957.jpg,cached
29086195,Balthazar,Applause,"Rock, Pop",,2023,2010,Repress,,White Vinyl,Belgium,2026-02-27T11:04:37-08:00,covers/29086195.jpg,cached
3568219,Band Of Skulls,Sweet Sour,Rock,Alternative Rock,2012,2012,,,,UK,2026-06-15T08:26:35-07:00,covers/3568219.jpg,cached
27275673,Baxter Dury,I Thought I Was Better Than You,"Rock, Pop",Alternative Rock,2023,2023,,,,Europe,2026-04-13T13:45:12-07:00,covers/27275673.jpg,cached
35067455,Baxter Dury,Allbarone,"Electronic, Rock","Alternative Rock, Electro, Leftfield, Dance-pop",2025,2025,,,,Europe,2026-06-06T06:36:37-07:00,covers/35067455.jpg,cached
26166029,Billy Howerdel,What Normal Was,"Electronic, Rock","Alternative Rock, Synthwave, Industrial",2023,2022,Reissue,,,USA & Europe,2025-05-15T04:59:36-07:00,covers/26166029.jpg,cached
35439493,Bob Moses,Blink,Electronic,Deep House,2025,2025,,,Red And Black Marble Translucent,Worldwide,2026-05-21T14:49:21-07:00,covers/35439493.jpg,cached
13747276,Brandt Brauer Frick,Echo,"Electronic, Jazz","Experimental, Techno",2019,2019,,,,France,2026-06-06T06:38:45-07:00,covers/13747276.jpg,cached
2948457,Chilly Gonzales,The Unspeakable Chilly Gonzales,"Electronic, Hip Hop, Jazz",Jazzy Hip-Hop,2011,2011,,Limited,,France,2025-12-16T10:10:03-08:00,covers/2948457.jpg,cached
9257171,Chilly Gonzales,Ivory Tower,"Electronic, Hip Hop, Jazz",Jazzy Hip-Hop,2010,2010,,,,France,2025-11-19T10:19:08-08:00,covers/9257171.jpg,cached
20722117,Dave Gahan,Paper Monsters,Electronic,Synth-pop,2021,2003,Reissue,,,Europe,2026-06-06T06:38:12-07:00,covers/20722117.jpg,cached
20922610,Dave Gahan & Soulsavers,Imposter,"Rock, Blues",,2021,2021,,,,Europe,2026-06-15T08:30:36-07:00,covers/20922610.jpg,cached
12574330,Dave Grohl,Play,Rock,Alternative Rock,2018,2018,,Limited,,Europe,2026-06-11T18:25:00-07:00,covers/12574330.jpg,cached
643279,Depeche Mode,Music For The Masses,"Electronic, Rock","New Wave, Synth-pop",1987,1987,,,,France,2026-06-05T13:50:33-07:00,covers/643279.jpg,cached
1192029,Depeche Mode,Black Celebration,"Electronic, Rock","New Wave, Synth-pop",1986,1986,,,,France,2026-06-15T03:38:14-07:00,covers/1192029.jpg,cached
3114872,dEUS,Keep You Close,Rock,Alternative Rock,2011,2011,,,,Europe,2026-04-18T05:56:39-07:00,covers/3114872.jpg,cached
28941046,dEUS,Following Sea,Rock,"Alternative Rock, Indie Rock",2023,2012,Reissue,,,Europe,2025-05-26T08:38:45-07:00,covers/28941046.jpg,cached
6128598,Emigrate,Silent So Long,"Electronic, Rock",Industrial,2014,2014,,,,"Germany, Austria, & Switzerland",2026-06-11T18:23:09-07:00,covers/6128598.jpg,cached
12873203,Emigrate,A Million Degrees,Rock,,2018,2018,,Limited,,Europe,2026-06-11T18:22:31-07:00,covers/12873203.jpg,cached
21393553,Emigrate,The Persistence Of Memory,Rock,"Alternative Rock, Industrial Metal",2021,2021,,,,Europe,2026-05-05T12:15:03-07:00,covers/21393553.jpg,cached
7392977,Foals,What Went Down,"Rock, Pop","Alternative Rock, Indie Rock",2015,2015,,,,UK & Europe,2025-08-11T03:46:49-07:00,covers/7392977.jpg,cached
25208803,Gaupa,Myriad,Rock,"Psychedelic Rock, Doom Metal, Stoner Rock",2022,2022,,,,Germany,2025-11-06T06:35:34-08:00,covers/25208803.jpg,cached
